title,year,link
UNIDO Newsletter - Issue 26,2025,https://www.unido.org/sites/default/files/unido-publications/2025-11/UNIDO%20Newsletter%20Issue%2026.pdf
UNIDO and Food Security,2025,https://www.unido.org/sites/default/files/unido-publications/2025-11/UNIDO%20and%20Food%20Security.pdf
UNIDO and the private sector - Accelerating inclusive and sustainable industrial development and economic transformation,2025,https://www.unido.org/sites/default/files/unido-publications/2025-11/UNIDO%20and%20the%20Private%20Sector%20%E2%80%93%20Accelerating%20Inclusive%20and%20Sustainable%20Industrial%20Development%20and%20Economic%20Transformation.pdf
UNIDO and Sustainable Supply Chains,2025,https://www.unido.org/sites/default/files/unido-publications/2025-11/UNIDO%20and%20Sustainable%20Supply%20Chains.pdf
Guidelines for Sustainable Hydrogen Projects in Developing Countries,2025,https://www.unido.org/sites/default/files/unido-publications/2025-11/Hydrogen%20report-sustainability-guide3010-digital.pdf
Building a Sustainable and Inclusive Hydrogen Economy,2025,https://www.unido.org/sites/default/files/unido-publications/2025-11/Building%20a%20Sustainable%20and%20Inclusive%20Hydrogen%20Economy.pdf
Mapping study of alternatives to single-use plastics: Reducing single-use plastics in Egypt,2025,https://www.unido.org/sites/default/files/unido-publications/2025-11/Mapping%20study%20of%20alternatives%20to%20single-use%20plastics%20-%20Reducing%20single-use%20plastics%20in%20Egypt.pdf
West Africa Competitiveness Programme - Success Stories 2018-2025,2025,https://www.unido.org/sites/default/files/unido-publications/2025-11/West%20Africa%20Competitiveness%20Programme%20-%20Success%20Stories%202018-2025.pdf
Quality as a Compass - Navigating to the SDGs,2025,https://www.unido.org/sites/default/files/unido-publications/2025-11/Quality%20as%20a%20Compass%20%E2%80%93%20Navigating%20to%20the%20SDGs.pdf
UNIDO in Action - Focus on Europe and Central Asia,2025,https://www.unido.org/sites/default/files/unido-publications/2025-11/UNIDO%20in%20Action%20-%20Focus%20on%20Europe%20and%20Central%20Asia.pdf
Transforming Postharvest Systems to End Hunger,2025,https://www.unido.org/sites/default/files/unido-publications/2025-10/Transforming%20Postharvest%20Systems%20to%20End%20Hunger.pdf
UNIDO in Action - Focus on Africa,2025,https://www.unido.org/sites/default/files/unido-publications/2025-10/UNIDO%20in%20Action%20-%20Focus%20on%20Africa.pdf
UNIDO in Action - Focus on Asia and the Pacific,2025,https://www.unido.org/sites/default/files/unido-publications/2025-10/UNIDO%20in%20Action%20-%20Focus%20on%20ACP.pdf
UNIDO in Action - Focus on Latin America and the Caribbean,2025,https://www.unido.org/sites/default/files/unido-publications/2025-10/UNIDO%20in%20Action%20-%20Focus%20on%20LAC.pdf
UNIDO in Action - Focus on the Arab Region,2025,https://www.unido.org/sites/default/files/unido-publications/2025-10/UNIDO%20in%20Action%20-%20Focus%20on%20the%20Arab%20Region.pdf
UNIDO: Progress by Innovation,2025,https://www.unido.org/sites/default/files/unido-publications/2025-10/UNIDO%20-%20Progress%20by%20Innovation.pdf
NDC 3.0 Guidebook for Industrial Decarbonization – Volume 2,2025,https://www.unido.org/sites/default/files/unido-publications/2025-10/ndc-guidebook-vol2.pdf
Statistical Indicators of Inclusive and Sustainable Industrialization,2025,https://www.unido.org/sites/default/files/unido-publications/2025-09/sdg9-report-2025-%20publication-pdf.pdf
"Financing Industries for Development - Unlocking Private, Public, and Blended Investment in a New Aid Era",2025,https://www.unido.org/sites/default/files/unido-publications/2025-09/Financing%20Industries%20for%20Development_05Sept2025.pdf
Africa-Japan Cooperation on Plastic Circular Economy Transition,2025,https://www.unido.org/sites/default/files/unido-publications/2025-08/Africa-Japan%20Cooperation%20on%20Plastic%20Circular%20Economy.pdf
UNIDO Newsletter - Issue 25,2025,https://www.unido.org/sites/default/files/unido-publications/2025-09/UNIDO_Newsletter_Issue_25.pdf
IID Policy Brief 25: Industrialization for development: Are least developed countries falling further behind,2025,https://www.unido.org/sites/default/files/unido-publications/2025-09/IID%20Policy%20Brief%2025%20-%20Industrialization%20for%20development%20-%20Are%20LDCs%20falling%20behind_0.pdf
Gender Mainstreaming in Action: The UNIDO-Leather Initiative for Sustainable Employment Creation Project in Ethiopia,2025,https://www.unido.org/sites/default/files/unido-publications/2025-08/Gender%20Mainstreaming%20in%20Action_UNIDO%20LISEC%20in%20Ethiopia_Final.pdf
IID Policy Brief 24: SDG 9 Unlocks ALL SDGs,2025,https://www.unido.org/sites/default/files/unido-publications/2025-07/IID_Policy_Brief_24-SDG9_unlocks_all_SDGs.pdf
UNIDO's Food Safety Approach 2.0,2025,https://www.unido.org/sites/default/files/unido-publications/2025-07/Food%20Safety%20Approach%202.0.pdf
Carbon Credits for Ethanol Cooking,2025,https://www.unido.org/sites/default/files/unido-publications/2025-07/Carbon%20Credits%20for%20Ethanol%20Cooking.pdf
"IID Policy Brief 23: Looking at the full picture: Industrialization, poverty alleviation and climate action",2025,https://www.unido.org/sites/default/files/unido-publications/2025-06/IID%20Policy%20Brief%2023%20-%20Industrialization%2C%20poverty%20alleviation%20and%20climate%20action.pdf
Zambia’s Soya Bean Value Chain Analysis and Strategy Design 2024-2033,2025,https://www.unido.org/sites/default/files/unido-publications/2025-04/ASTA_Zambia%20SoybeanVC_2025_en.pdf
Circular Economy and Digitalization,2025,https://www.unido.org/sites/default/files/unido-publications/2025-06/Circular%20Economy%20and%20Digitalization.pdf
UNIDO Newsletter - Issue 22,2025,https://www.unido.org/sites/default/files/unido-publications/2025-05/Newsletter%20Issue%2022.pdf
Navigating the Food Loss and Waste Paradox - Balancing Food Loss and Waste with Save Food Packaging,2025,https://www.unido.org/sites/default/files/unido-publications/2025-05/Navigating%20the%20food%20loss%20and%20waste%20paradox_Final.pdf
Exploring readiness for digitalization of manufacturing in Latin America and the Caribbean,2025,https://www.unido.org/sites/default/files/unido-publications/2025-05/Exploring%20readiness%20for%20digitalization%20of%20manufacturing%20in%20Latin%20America%20and%20the%20Caribbean_0.pdf
Annual Report 2024 - Appendices,2025,https://www.unido.org/sites/default/files/unido-publications/2025-05/2503074E.pdf
FairShare Programme,2025,https://www.unido.org/sites/default/files/unido-publications/2025-04/FairShare%20Programme%20Brochure.pdf
UNIDO Newsletter - Issue 20,2025,https://www.unido.org/sites/default/files/unido-publications/2025-04/Newsletter%20Issue%2020%20%281%29.pdf
UNIDO Newsletter - Issue 21,2025,https://www.unido.org/sites/default/files/unido-publications/2025-04/Newsletter%20Issue%2021.pdf
IID Policy Brief 19: The costs of sustainability driven regulations: Pathways for a fair distribution,2025,https://www.unido.org/sites/default/files/unido-publications/2025-03/IID%20Policy%20Brief%2019%20-%20The%20costs%20of%20sustainability-driven%20regulations.pdf
IID Policy Brief 21: The future of industrialization: Harnessing megatrends for sustainable growth,2025,https://www.unido.org/sites/default/files/unido-publications/2025-04/IID%20Policy%20Brief%2021%20-%20Harnessing%20megatrends%20for%20sustianble%20growth.pdf
IID Policy Brief 22: Agroindustry’s role in achieving zero hunger: What strategic actions can developing countries take?,2025,https://www.unido.org/sites/default/files/unido-publications/2025-04/IID%20Policy%20Brief%2022%20-%20Agro-industry%20and%20Zero%20Hunger.pdf
Irrigation Equipment Production in Central Asia: Industrializing the Water Sector,2025,https://www.unido.org/sites/default/files/unido-publications/2025-03/Irrigation%20Equipment%20Production%20in%20Central%20Asia%20-%20Industrializing%20the%20Water%20Sector.pdf
IID Policy Brief 20: The new era of industrial policy in Africa: from SDG assessment to policy solutions,2025,https://www.unido.org/sites/default/files/unido-publications/2025-03/IID_PB%2020_Africa%20industrial%20landscape.pdf
UNIDO Newsletter - Issue 19,2025,https://www.unido.org/sites/default/files/unido-publications/2025-03/Newsletter%20Issue%2019.pdf
"Advancing Gender Equality, Empowering Women",2025,https://www.unido.org/sites/default/files/unido-publications/2025-03/ADVANCING%20GENDER%20EQUALITY%20EMPOWERING%20WOMEN_2025.pdf
Investment Facilitation and FDI Intelligence Support,2025,https://www.unido.org/sites/default/files/unido-publications/2025-02/UNIDO%20FDI%20Intelligence%20Brochure.pdf
Circular Economy for Industrial Development in Ukraine: Baseline Study,2024,https://www.unido.org/sites/default/files/unido-publications/2026-01/Circular%20Economy%20for%20Industrial%20Development%20in%20Ukraine.pdf
"Energy Efficiency for Sustainable Livelihoods in Africa – Accelerating Investments, Promoting Innovative Business Models and Strengthening Technology Cooperation",2024,https://www.unido.org/sites/default/files/unido-publications/2025-11/Energy%20Efficiency%20for%20Sustainable%20Livelihoods%20in%20Africa%20%E2%80%93%20Accelerating%20Investments%2C%20Promoting%20Innovative%20Business%20Models%20and%20Strengthening%20Technology%20Cooperation.pdf
Tackling Climate Change - Fostering Trust in Climate Action through Quality and Standards,2024,https://www.unido.org/sites/default/files/unido-publications/2025-11/Tackling%20Climate%20Change%20%E2%80%93%20Fostering%20Trust%20in%20Climate%20Action%20through%20Quality%20and%20Standards.pdf
UNIDO Operational Strategy on Gender Equality and the Empowerment of Women 2024-2027,2024,https://www.unido.org/sites/default/files/unido-publications/2025-08/UNIDO%20Operational%20Strategy%20on%20Gender%20Equality%20and%20the%20Empowerment%20of%20Women.pdf
IID Policy Brief 12: Bridging the AI divide: Empowering developing countries through manufacturing,2024,https://www.unido.org/sites/default/files/unido-publications/2024-10/IID%20Policy%20Brief%2012_0.pdf
Guidelines for the Establishment of a Smart Factory Lab,2024,https://www.unido.org/sites/default/files/unido-publications/2024-10/UNIDO%20-%20Guidelines%20for%20the%20establishment%20of%20a%20Smart%20Factory%20Lab_Automotive%20Sector_Final.pdf
Mapping the use of artificial intelligence in priority sectors and the competitiveness of Ukraine,2024,https://www.unido.org/sites/default/files/unido-publications/2024-08/AI_Ukraine_0.pdf
Fostering Climate Resilience in Berries and Nuts Value Chain: Leveraging quality and standards to promote sustainability,2024,https://www.unido.org/sites/default/files/unido-publications/2025-05/Fostering-climate-resilience-in-berries-and-nuts-value-chain-Ukraine.pdf
Implementation plan: Concrete steps to realize the National Guiding Framework for Standards and Technical Regulations for the Green Reconstruction of Ukraine,2024,https://www.unido.org/sites/default/files/unido-publications/2024-10/Implementation%20plan-%20Concrete%20steps%20to%20realize%20the%20National%20Guiding%20Framework%20for%20Standards%20and%20Technical%20Regulations%20for%20the%20Green%20Reconstruction%20of%20Ukraine.pdf
National Guiding Framework of Standards and Technical Regulations for the Green Reconstruction of Ukraine,2024,https://www.unido.org/sites/default/files/unido-publications/2024-10/National%20Guiding%20Framework%20of%20Standards%20and%20Technical%20Regulations%20for%20the%20Green%20Reconstruction%20of%20Ukraine.pdf
Fostering the role of women in berries and nuts value chain,2024,https://www.unido.org/sites/default/files/unido-publications/2025-03/Fostering-the-role-of-women-in-berries-and-nuts-value-chain.pdf
IID Policy Brief 16: The new era of industrial policy in Latin America and the Caribbean: from SDG assessment to policy solutions,2024,https://www.unido.org/sites/default/files/unido-publications/2024-12/IID%20Policy%20Brief%2016%20-%20LAC%20Industrial%20Policy.pdf
Ending Hunger is Possible: An income-generating approach through value addition,2024,https://www.unido.org/sites/default/files/unido-publications/2024-12/UNIDO-FAO%20Study%20Ending%20Hunger%20is%20Possible.pdf
The Role of the G20 in Promoting Green and Just Transitions,2024,https://www.unido.org/sites/default/files/unido-publications/2024-11/The%20Role%20of%20the%20G20%20in%20Promoting%20Green%20and%20Just%20Transitions.pdf
IID Policy Brief 13: The new era of industrial policy in Eastern Europe: from SDG assessment to policy solutions,2024,https://www.unido.org/sites/default/files/unido-publications/2024-10/IID%20Policy%20Brief%2013%20-%20Eastern%20Europe%20Industrial%20Policy%20%281%29.pdf
IID Policy Brief 14: The new era of industrial policy in Asia-Pacific: from SDG assessment to policy solutions,2024,https://www.unido.org/sites/default/files/unido-publications/2024-10/IID%20Policy%20Brief%2014%20-%20Asia-Pacific%20Industrial%20Policy.pdf
International Yearbook of Industrial Statistics - 2024,2024,https://www.unido.org/sites/default/files/unido-publications/2024-11/YB-core-2024-yearbook-pdf.pdf
IID Policy Brief 15: Manufacturing-led growth: driving and sustaining economies,2024,https://www.unido.org/sites/default/files/unido-publications/2024-11/IID%20Policy%20Brief%2015%20-%20Manufacturing-led%20growth.pdf
UNIDO Newsletter - Issue 17,2024,https://www.unido.org/sites/default/files/unido-publications/2024-11/Newsletter%20Issue%2017.pdf
The Future of Industrialization - Building Future-ready Industries to Turn Challenges into Sustainable Solutions,2024,https://www.unido.org/sites/default/files/unido-publications/2024-11/The%20Future%20of%20Industrialization%20-%20Building%20Future-ready%20Industries%20to%20Turn%20Challenges%20into%20Sustainable%20Solutions.pdf
Collaborative Industrialization - UNIDO's Toolkit for South-South and Triangular Industrial Cooperation,2024,https://www.unido.org/sites/default/files/unido-publications/2024-11/Collaborative%20Industrialization.pdf
A World Without Hunger is Possible - UNIDO's approach and contribution,2024,https://www.unido.org/sites/default/files/unido-publications/2024-10/A%20World%20Without%20Hunger%20is%20Possible%20-%20UNIDO%27s%20approach%20and%20contribution_0.pdf
GCIP Cleantech Innovation Capacity Building Framework,2024,https://www.unido.org/sites/default/files/unido-publications/2024-10/UNIDO%20GCIP%20Cleantech%20Innovation%20Capacity%20Building%20Framework_1.pdf
GCIP Cleantech Innovation Cluster Development Framework,2024,https://www.unido.org/sites/default/files/unido-publications/2024-10/UNIDO%20GCIP%20Cleantech%20Innovation%20Cluster%20Development%20Framework.pdf
GCIP Cleantech Innovation Policy Strategy Framework,2024,https://www.unido.org/sites/default/files/unido-publications/2024-10/UNIDO%20GCIP%20Cleantech%20Innovation%20Policy%20Strategy%20Framework.pdf
GCIP Cleantech Innovation Actor Engagement Framework,2024,https://www.unido.org/sites/default/files/unido-publications/2024-10/UNIDO%20GCIP%20Cleantech%20Innovation%20Actor%20Engagement%20Framework.pdf
Industrial Diagnostic Study for Ukraine: Executive Summary,2024,https://www.unido.org/sites/default/files/unido-publications/2024-08/Executive%20summary_UNIDO%20Industrial%20Diagnostic%20Study_Ukraine_2024.pdf
Industrial Diagnostic Study for Ukraine,2024,https://www.unido.org/sites/default/files/unido-publications/2024-08/UNIDO%20Industrial%20Diagnostic%20Study_Ukraine_2024.pdf
UNIDO Newsletter - Issue 15,2024,https://www.unido.org/sites/default/files/unido-publications/2024-08/Newsletter%20Issue%2015.pdf
"Circular Economy, Pollution and Chemicals",2024,https://www.unido.org/sites/default/files/unido-publications/2024-07/GACERE-Working-paper-Circular-Economy-Pollution.pdf
UNIDO Newsletter - Issue 14,2024,https://www.unido.org/sites/default/files/unido-publications/2024-07/Newsletter%20Issue%2014.pdf
UNIDO Newsletter - Issue 13,2024,https://www.unido.org/sites/default/files/unido-publications/2024-06/UNIDO%20Newsletter%20Issue%2013.pdf
IID Policy Brief 10: Navigating challenges: Policy solutions for Ukrainian firms on the road to recovery,2024,https://www.unido.org/sites/default/files/unido-publications/2024-06/IID%20Policy%20Brief%2010%20Navigating%20challenges%20Policy%20solutions%20for%20Ukrainian%20firms%20on%20the%20road%20to%20recovery.pdf
IID Policy Brief 11: Unlocking the industrial potential of African LDCs: Bridging the gap for sustainable development,2024,https://www.unido.org/sites/default/files/unido-publications/2024-06/IID%20Policy%20Brief%2011%20Unlocking%20the%20industrial%20potential%20of%20African%20LDCs%20Bridging%20the%20gap%20for%20sustainable%20development.pdf
Circular Economy and Solid Waste,2024,https://www.unido.org/sites/default/files/unido-publications/2024-06/Working%20Paper_Circular%20Economy%20and%20Solid%20Waste.pdf
The impact of the war on industrial sectors in Ukraine,2024,https://www.unido.org/sites/default/files/unido-publications/2024-05/WP_3_2024.pdf
"Analysis of industrial production and exports of goods from Ukraine and its regions, 2013-2022",2024,https://www.unido.org/sites/default/files/unido-publications/2024-05/WP_2_2024_FINAL.pdf
Environmental and socioeconomic consequences of the war and the green industrial recovery programme in Ukraine: Evidence from NICE,2024,https://www.unido.org/sites/default/files/unido-publications/2024-05/NICE-Ukraine.pdf
Diversifying and rebuilding the Ukrainian economy: Application of the DIVE tool,2024,https://www.unido.org/sites/default/files/unido-publications/2024-05/DIVE_Application_to_Ukraine-Final.pdf
Annual Report 2023,2024,https://www.unido.org/sites/default/files/unido-publications/2024-05/Annual%20Report%202023-English%20Spread.pdf
UNIDO Newsletter - Issue 12,2024,https://www.unido.org/sites/default/files/unido-publications/2024-05/DG_Newsletter_12.pdf
UNIDO brochure,2024,https://www.unido.org/sites/default/files/unido-publications/2024-01/UNIDO_brochure_2023_FINAL_Spreads.pdf
Promoting Women's Empowerment for Inclusive and Sustainable Industrial Development in the MENA Region (PWE),2023,https://www.unido.org/sites/default/files/unido-publications/2025-11/170136_Project%20White%20Paper.pdf
Women’s Economic Empowerment for Inclusive and Sustainable Growth in Egypt – Rabeha,2023,https://www.unido.org/sites/default/files/unido-publications/2023-11/Women%E2%80%99s%20Economic%20Empowerment%20for%20Inclusive%20and%20Sustainable%20Growth%20in%20Egypt%20%E2%80%93%20Rabeha.pdf
UNIDO and Sustainable Supply Chains,2023,https://www.unido.org/sites/default/files/unido-publications/2024-04/UNIDO%20and%20Sustainable%20Supply%20Chain%20-%20Resolution%20GC.20.pdf
"Gender, Digital Transformation and Artificial Intelligence",2023,https://www.unido.org/sites/default/files/unido-publications/2023-11/Gender%2C%20Digital%20Transformation%20and%20Artificial%20Intelligence%20Report_0.pdf
IID Policy Brief 9: Policy packages for decarbonizing heavy industry,2023,https://www.unido.org/sites/default/files/unido-publications/2023-12/IID%20Policy%20Brief%209%20-%20Policy%20packages%20for%20decarbonizing%20heavy%20industry.pdf
IID Policy Brief 8: Industrial policy solutions for LDCs: How industrialization strengthens food security,2023,https://www.unido.org/sites/default/files/unido-publications/2023-11/Unido_NT_08_Eradicating%20hunger%20in%20LDCs%20using%20industrial%20policy_0.pdf
IID Policy Brief 7: Diving into diversification How North African countries can boost economic ties with the EU,2023,https://www.unido.org/sites/default/files/unido-publications/2023-11/IID%20Policy%20Brief%207%20-%20Diving%20into%20diversification%20How%20North%20African%20countries%20can%20boost%20economic%20ties%20with%20the%20EU.pdf
IID Policy Brief 6: Who is at the forefront of the green technology frontier?,2023,https://www.unido.org/sites/default/files/unido-publications/2023-10/IID%20Policy%20Brief%206.pdf
IID Policy Brief 4: Aligning digital and industrial policy,2023,https://www.unido.org/sites/default/files/unido-publications/2023-05/IID%20Policy%20Brief%204%20-%20Aligning%20digital%20and%20industrial%20policy%20-%20FINAL.pdf
Accelerating and Scaling-up Collective Action for Sustainable Supply Chains,2023,https://www.unido.org/sites/default/files/unido-publications/2023-11/Accelerating%20and%20Scaling-up%20Collective%20Action%20for%20Sustainable%20Supply%20Chains.pdf
"Addressing the Challenges of Plastic Pollution, including in the Marine Environment, Using Circular Economy Methods",2023,https://www.unido.org/sites/default/files/unido-publications/2024-12/UNIDO_Addressing%20the%20Challenges%20of%20Plastic%20Pollution_v04_LR%20%28003%29.pdf
Industrial Development Report 2024,2023,https://www.unido.org/sites/default/files/unido-publications/2024-06/Industrial%20Development%20Report%202024.pdf
Industrial Development Report 2024 - Overview,2023,https://www.unido.org/sites/default/files/unido-publications/2024-06/IDR24%20Overview%20%28English%29.pdf
Supporting Sustainable Supply chains - Through South-South and Triangular Industrial Cooperation,2023,https://www.unido.org/sites/default/files/unido-publications/2024-02/Supporting_Sustainable_Supply_chains_Through_SSTIC%20%282023%29.pdf
World Cotton Day 2023 Report,2023,https://www.unido.org/sites/default/files/unido-publications/2024-03/World%20Cotton%20Day%202023_Final%20Report_EN.pdf
La coopération industrielle de l’ONUDI avec les pays francophones,2023,https://www.unido.org/sites/default/files/unido-publications/2024-01/UNIDO%20Brochure%20Final%2018.12.23_0.pdf
UNIDO Newsletter - Issue 9,2023,https://www.unido.org/sites/default/files/unido-publications/2023-12/DG%20Newsletter%20Issue%209.pdf
Peru in the global economy: Recent trends and potential diversification strategies,2023,https://www.unido.org/sites/default/files/unido-publications/2023-12/Peru%20in%20the%20global%20economy%20-%20SINGLE%20PAGE%20WEB.pdf
International Yearbook of Industrial Statistics - 2023,2023,https://www.unido.org/sites/default/files/unido-publications/2023-12/UNIDO_IndustrialStatistics_Yearbook_2023.pdf
International Yearbook of Industrial Statistics - Global Highlights,2023,https://www.unido.org/sites/default/files/unido-publications/2023-12/documents_Yearbook_2023_UNIDO_IndustrialStatistics_Yearbook_2023_Highlights.pdf
Factsheet: Africa,2023,https://www.unido.org/sites/default/files/unido-publications/2023-12/documents_Yearbook_2023_UNIDO_IndustrialStatistics_Yearbook_2023_Africa.pdf
Factsheet: Asia and Oceania,2023,https://www.unido.org/sites/default/files/unido-publications/2023-12/documents_Yearbook_2023_UNIDO_IndustrialStatistics_Yearbook_2023_AsiaO.pdf
Factsheet: Latin America and the Caribbean,2023,https://www.unido.org/sites/default/files/unido-publications/2023-12/documents_Yearbook_2023_UNIDO_IndustrialStatistics_Yearbook_2023_LAC.pdf
Factsheet: Northern America and Europe,2023,https://www.unido.org/sites/default/files/unido-publications/2023-12/documents_Yearbook_2023_UNIDO_IndustrialStatistics_Yearbook_2023_NAE.pdf
Annual Report 2022,2023,https://www.unido.org/sites/default/files/unido-publications/2023-04/Annual%20Report%202022-English%20Spread.pdf
IID Policy Brief 2: Mission-oriented industrial strategy,2023,https://www.unido.org/sites/default/files/unido-publications/2023-04/IID%20Policy%20Brief%202%20-%20Mission-oriented%20industrial%20strategy%20-%20Final.pdf
Agriculture Systems Transformation Accelerator (ASTA),2023,https://www.unido.org/sites/default/files/unido-publications/2023-03/agriculture-systems-transformation-accelerator-asta-en.pdf
UNIDO Newsletter - Issue 1,2023,https://www.unido.org/sites/default/files/unido-publications/2023-03/DG-newsletter-issue-1.pdf
